Date,signal_date,Ticker,Side,Weight_Delta,Fill_Price,Shares,Notional_USD
2026-04-13,2026-04-10,BIL,SELL,-0.5912,91.5,-64.5708,-5908.23
2026-04-13,2026-04-10,ERX,BUY,0.2173,90.59,23.9742,2171.82
2026-04-13,2026-04-10,SOXL,BUY,0.1566,75.59,20.6983,1564.59
2026-04-13,2026-04-10,UCO,BUY,0.2173,43.0,50.5075,2171.82
2026-04-15,2026-04-14,EDC,BUY,0.0333,72.1,4.5823,330.39
2026-04-15,2026-04-14,ERX,SELL,-0.0333,84.73,-3.8993,-330.39
2026-04-20,2026-04-17,EDC,SELL,-0.0333,75.61,-4.4199,-334.19
2026-04-20,2026-04-17,TECL,BUY,0.0333,133.47,2.5039,334.19
2026-04-21,2026-04-20,EDC,BUY,0.0333,76.26,4.4166,336.81
2026-04-21,2026-04-20,ERX,SELL,-0.0608,83.4,-7.3729,-614.9
2026-04-21,2026-04-20,SOXL,BUY,0.0608,97.97,6.2764,614.9
2026-04-21,2026-04-20,UCO,SELL,-0.0333,39.86,-8.4499,-336.81
2026-04-22,2026-04-21,BIL,SELL,-0.0066,91.57,-0.7418,-67.92
2026-04-22,2026-04-21,ERX,BUY,0.0628,86.34,7.5152,648.87
2026-04-22,2026-04-21,SOXL,SELL,-0.059,102.94,-5.9232,-609.73
2026-04-23,2026-04-22,ERX,SELL,-0.0614,87.94,-7.3494,-646.31
2026-04-23,2026-04-22,SOXL,BUY,0.0615,108.62,5.9648,647.9
2026-04-24,2026-04-23,BIL,SELL,-0.0273,91.62,-3.2536,-298.09
2026-04-24,2026-04-23,EDC,SELL,-0.0337,75.69,-4.8527,-367.3
2026-04-24,2026-04-23,ERX,BUY,0.0057,87.9,0.7071,62.16
2026-04-24,2026-04-23,SOXL,BUY,0.01,125.21,0.8751,109.58
2026-04-24,2026-04-23,UCO,BUY,0.0437,42.76,11.1525,476.88
2026-04-27,2026-04-24,BIL,SELL,-0.01,91.62,-1.2042,-110.32
2026-04-28,2026-04-27,BIL,SELL,-0.0074,91.63,-0.8698,-79.7
2026-04-29,2026-04-28,BIL,BUY,0.0077,91.64,0.9259,84.85
2026-04-30,2026-04-29,BIL,SELL,-0.011,91.64,-1.3397,-122.77
2026-05-01,2026-04-30,BIL,BUY,0.0069,91.41,0.8559,78.24
2026-05-04,2026-05-01,BIL,SELL,-0.0297,91.41,-3.7456,-342.38
2026-05-04,2026-05-01,ERX,BUY,0.0062,93.8,0.7611,71.39
2026-05-04,2026-05-01,SOXL,BUY,0.0109,132.2,0.952,125.86
2026-05-04,2026-05-01,UCO,BUY,0.0109,48.42,2.5993,125.86
2026-05-05,2026-05-04,BIL,SELL,-0.1008,91.43,-12.8219,-1172.31
2026-05-05,2026-05-04,EDC,BUY,0.0309,81.61,4.4047,359.47
2026-05-05,2026-05-04,ERX,SELL,-0.1394,95.33,-17.0183,-1622.35
2026-05-05,2026-05-04,QLD,BUY,0.1657,83.51,23.0805,1927.45
2026-05-05,2026-05-04,SOXL,SELL,-0.145,135.0,-12.4967,-1687.05
2026-05-05,2026-05-04,TECL,SELL,-0.0068,158.12,-0.4967,-78.54
2026-05-05,2026-05-04,TMF,BUY,0.0383,34.56,12.893,445.58
2026-05-05,2026-05-04,TQQQ,BUY,0.0309,66.37,5.4162,359.47
2026-05-05,2026-05-04,UCO,SELL,-0.2075,48.4,-49.8848,-2414.42
2026-05-05,2026-05-04,UGL,BUY,0.2954,58.06,59.1995,3437.12
2026-05-05,2026-05-04,YINN,BUY,0.0383,34.37,12.9643,445.58
2026-05-06,2026-05-05,BIL,BUY,0.0391,91.42,5.1842,473.94
2026-05-06,2026-05-05,QLD,SELL,-0.0084,85.94,-1.1873,-102.04
2026-05-06,2026-05-05,SOXL,SELL,-0.0051,157.84,-0.3934,-62.09
2026-05-06,2026-05-05,TQQQ,SELL,-0.0309,69.26,-5.4019,-374.13
2026-05-06,2026-05-05,UCO,BUY,0.0274,44.08,7.5208,331.51
2026-05-06,2026-05-05,UGL,SELL,-0.015,60.8,-2.9927,-181.96
2026-05-08,2026-05-07,BIL,SELL,-0.0656,91.46,-8.8298,-807.58
2026-05-08,2026-05-07,ETHE,BUY,0.0361,18.44,24.1026,444.45
2026-05-08,2026-05-07,IBIT,BUY,0.0361,45.08,9.8592,444.45
2026-05-08,2026-05-07,SOXL,SELL,-0.067,163.0,-5.0598,-824.75
2026-05-08,2026-05-07,UCO,BUY,0.0656,43.18,18.6841,806.78
