Date,Close,Crypto,Equity,Cash,SPY,AGG
2014-09-17,0.0,0.0,0.0,1.0,0.0,0.0
2014-09-18,0.0,0.0,0.0,1.0,0.005329948414918961,9.222198788494396e-05
2014-09-19,0.0,0.0,0.0,1.0,-0.000900892675072984,0.0016589736803405142
2014-09-22,0.0,0.0,0.0,1.0,-0.007722833897868209,0.0013802365701187647
2014-09-23,0.0,0.0,0.0,1.0,-0.0057242660373828524,0.0009185685425219248
2014-09-24,0.0,0.0,0.0,1.0,0.00782774836680189,-0.0006424655905816756
2014-09-25,0.0,0.0,0.0,1.0,-0.016135501073224368,0.0019291170504882604
2014-09-26,0.0,0.0,0.0,1.0,0.007945473829627403,-9.144342192812793e-05
2014-09-29,0.0,0.0,0.0,1.0,-0.001819470004817636,0.0010999190478793164
2014-09-30,0.0,0.0,0.0,1.0,-0.002632090590285574,-0.0006405146686495611
2014-10-01,-0.001485,0.0,0.0,1.0,-0.013551675761081072,0.0055908840562008955
2014-10-02,0.0,0.0,0.0,1.0,0.00015395509201465707,-0.0016433907875585962
2014-10-03,-0.00043264829392578475,0.0,0.0,1.0,0.011009573579539689,-0.00045707353575785703
2014-10-06,0.0,0.0,0.0,1.0,-0.0011705261220779084,0.0009144694091944849
2014-10-07,0.00021626592383239051,0.0,0.0,1.0,-0.015436280885492648,0.0038397097785500822
2014-10-08,-0.00099,0.0,0.0,1.0,0.017489394353650933,0.002822507799798979
2014-10-09,0.0,0.0,0.0,1.0,-0.019833004072483118,-0.0019977723181519025
2014-10-10,0.0,0.0,0.0,1.0,-0.011414212070531171,0.0007276487098151208
2014-10-13,0.0,0.0,0.0,1.0,-0.01642726425108565,0.002909524430297017
2014-10-14,-0.00021621869076680179,0.0,0.0,1.0,0.001547429969229297,0.0022665219743409626
2014-10-15,-0.00099,0.0,0.0,1.0,-0.006766073100397896,0.0018093252854129993
2014-10-16,0.00021626592383239051,0.0,0.0,1.0,-0.0008583279826549495,-0.0008129005782651078
2014-10-17,0.0,0.0,0.0,1.0,0.01181088030077726,-0.0013552435289744258
2014-10-20,0.0,0.0,0.0,1.0,0.009709717070086388,0.001175961703790307
2014-10-21,-0.00021621869076680179,0.0,0.0,1.0,0.019810893669552687,-0.0009036906419578328
2014-10-22,-0.0017637340761676094,0.0,0.0,1.0,-0.007110864512379411,-0.0005426480600946304
2014-10-23,-0.00021621869076680179,0.0,0.0,1.0,0.011625146591918822,-0.002352656987911872
2014-10-24,0.0,0.0,0.0,1.0,0.007694809558215665,0.00036253073588898843
2014-10-27,0.0,0.0,0.0,1.0,-0.0013746967885762684,0.0003623993549841664
2014-10-28,0.0,0.0,0.0,1.0,0.011470600541398701,-0.001541227357771624
2014-10-29,-0.0027537340761676094,0.0,0.0,1.0,-0.0015120628401102953,-0.0021789576896495966
2014-10-30,-0.00021621869076680179,0.0,0.0,1.0,0.006410444647152014,0.0016383341255692407
2014-10-31,0.00021626592383239051,0.0,0.0,1.0,0.01143532562410754,0.0
2014-11-03,-0.00021621869076680179,0.0,0.0,1.0,0.0005456319265695342,-0.0018931255297278682
2014-11-04,0.00021626592383239051,0.0,0.0,1.0,-0.003469516644038495,9.109492386150109e-05
2014-11-05,-0.0021962186907668016,0.0,0.0,1.0,0.006316445526727277,0.0003645368640046165
2014-11-06,0.00021626592383239051,0.0,0.0,1.0,0.004003083140408092,-0.001731347271137107
2014-11-07,-0.00021621869076680179,0.0,0.0,1.0,0.0009353353668852815,0.003377774643148701
2014-11-10,0.00021626592383239051,0.0,0.0,1.0,0.0031474290423036955,-0.0023657914871971775
2014-11-11,0.0,0.0,0.0,1.0,0.0009803039114697487,0.00045598020080461765
2014-11-12,-0.00099,0.0,0.0,1.0,-0.0010775232372990384,9.098316830424835e-05
2014-11-13,-0.00021621869076680179,0.0,0.0,1.0,0.0011278281886013541,0.0004563018859018442
2014-11-14,0.0,0.0,0.0,1.0,0.00024480126229620147,0.0009109509968858731
2014-11-17,0.00021626592383239051,0.0,0.0,1.0,0.0006367084991740768,-0.0011835291215256394
2014-11-18,-0.00021621869076680179,0.0,0.0,1.0,0.005773598568820537,0.0009118663651468406
2014-11-19,-0.00198,0.0,0.0,1.0,-0.0016051066330526886,-0.0023682743631685543
2014-11-20,0.0,0.0,0.0,1.0,0.0017540292839564042,0.0018259202350228154
2014-11-21,0.0,0.0,0.0,1.0,0.005350655282239991,0.001184023998147321
2014-11-24,0.00021626592383239051,0.0,0.0,1.0,0.0028063078370712535,0.0003645053661232023
2014-11-25,0.0,0.0,0.0,1.0,-0.0007237043292375178,0.0021828166387491965
2014-11-26,-0.0021962186907668016,0.0,0.0,1.0,0.0025590419287664368,0.0008169865741114446
2014-11-28,0.00021626592383239051,0.0,0.0,1.0,-0.0021190463443796492,0.003083306168439659
2014-12-01,-0.00021621869076680179,0.0,0.0,1.0,-0.006950055934327737,-0.0022479365677153806
2014-12-02,0.0,0.0,0.0,1.0,0.006463937624640703,-0.001998620916565441
2014-12-03,0.0,0.0,0.0,1.0,0.003863223529108728,-0.0009100765503198271
2014-12-04,-0.00099,0.0,0.0,1.0,-0.0011065071998719311,0.0030062444610139405
2014-12-05,0.00021626592383239051,0.0,0.0,1.0,0.0016370643721654865,-0.0042691146505871025
2014-12-08,0.0,0.0,0.0,1.0,-0.006682119533862996,0.0024633749785663017
2014-12-09,-0.00021621869076680179,0.0,0.0,1.0,-0.0006779169799192575,0.001547304318787246
2014-12-10,0.0,0.0,0.0,1.0,-0.016031319475302452,0.0017253493607738424
2014-12-11,-0.00297,0.0,0.0,1.0,0.005069858979785069,-0.000362705248429962
2014-12-12,0.00021626592383239051,0.0,0.0,1.0,-0.016161420028789952,0.0031760508024505363
2014-12-15,-0.00043223368987944987,0.0,0.0,1.0,-0.006869643063166508,-0.0027134143527262067
2014-12-16,0.0,0.0,0.0,1.0,-0.008019442490973083,0.002448887304716596
2014-12-17,0.0,0.0,0.0,1.0,0.019604630909620724,-0.001267099698389007
2014-12-18,-0.0007738906476116994,0.0,0.0,1.0,0.02472887008221525,-0.0026268438423123763
2014-12-19,-0.00021606218768176032,0.0,0.0,1.0,0.004254644305428323,0.0016348697041477234
2014-12-22,0.0,0.0,0.0,1.0,0.00460036190501012,0.0015422106511306932
2014-12-23,0.0,0.0,0.0,1.0,0.001349641284227543,-0.004617999165592246
2014-12-24,0.00021610935238830064,0.0,0.0,1.0,9.605128979228716e-05,0.0010860685143849746
2014-12-26,-0.0031860621876817602,0.0,0.0,1.0,0.003224991440018199,0.00045615348784266985
2014-12-29,0.0,0.0,0.0,1.0,0.0013434488306258707,0.0020955902380563884
2014-12-30,0.0,0.0,0.0,1.0,-0.005366232478065336,0.0010910937268480136
2014-12-31,0.00021610935238830064,0.0,0.0,1.0,-0.009923152261654189,0.00027254684039390575
2015-01-02,-0.00021606218768176032,0.0,0.0,1.0,-0.0005345450764122628,0.002814827409214571
2015-01-05,-0.0017638906476116992,0.0,0.0,1.0,-0.01806020942807529,0.0021733801950130083
2015-01-06,-0.00021606218768176032,0.0,0.0,1.0,-0.009418834087598804,0.002530095703620061
2015-01-07,0.0,0.0,0.0,1.0,0.012461224650504255,-0.00017988417816228175
2015-01-08,0.0,0.0,0.0,1.0,0.017745021598853494,-0.0015326120017900013
2015-01-09,0.0,0.0,0.0,1.0,-0.008013640665922028,0.0024376147170683815
2015-01-12,-0.00099,0.0,0.0,1.0,-0.007833458273907579,0.0008104377653903594
2015-01-13,0.0,0.0,0.0,1.0,-0.002812673149650169,0.0002702073638372049
2015-01-14,0.0,0.0,0.0,1.0,-0.0060371101925790205,0.002428874964575778
2015-01-15,0.0,0.0,0.0,1.0,-0.00916093668573259,0.004577338152113475
2015-01-16,0.0,0.0,0.0,1.0,0.013114107856734725,-0.0038416684771124254
2015-01-20,-0.00099,0.0,0.0,1.0,0.002133130440885367,0.0017040537061283612
2015-01-21,0.00021610935238830064,0.0,0.0,1.0,0.00504804897498401,-0.0017908262527769336
2015-01-22,-0.00021606218768176032,0.0,0.0,1.0,0.014870836582205449,-0.0005384351365790296
2015-01-23,0.00021610935238830064,0.0,0.0,1.0,-0.005482904610959127,0.002513585254428019
2015-01-26,0.0,0.0,0.0,1.0,0.0023417104842198277,-0.000448090778379151
2015-01-27,-0.00198,0.0,0.0,1.0,-0.013190382369345222,-0.0005370576768156665
2015-01-28,-0.00021606218768176032,0.0,0.0,1.0,-0.012824675900062532,0.004211165363430025
2015-01-29,0.0,0.0,0.0,1.0,0.009243887405917972,-0.0008026393471088911
2015-01-30,0.0,0.0,0.0,1.0,-0.01257501176270548,0.0035713564110448903
2015-02-02,0.0,0.0,0.0,1.0,0.012384201809943374,-3.5278935861748906e-05
2015-02-03,-0.0017638906476116992,0.0,0.0,1.0,0.014461143837175783,-0.003832240340411297
2015-02-04,-0.00021606218768176032,0.0,0.0,1.0,-0.0038080316681436965,0.001520936871153289
2015-02-05,0.0,0.0,0.0,1.0,0.010094847320851974,-0.002054428040864531
2015-02-06,0.0,0.0,0.0,1.0,-0.0027647869708798956,-0.005819025712299863
2015-02-09,-0.0002169244748867094,0.0,0.0,1.0,-0.004476135702343176,-0.0001802643055401898
2015-02-10,-0.001763027983152992,0.0,0.0,1.0,0.010653623261092093,-0.001080194377128696
2015-02-11,-0.0002169244748867094,0.0,0.0,1.0,0.0005799962242334367,-0.0004511360097996242
2015-02-12,0.0,0.0,0.0,1.0,0.009616835820247083,0.00018076016472168277
2015-02-13,0.00021697201684700796,0.0,0.0,1.0,0.004116424024747101,-0.0011725794336594486
2015-02-17,0.0,0.0,0.0,1.0,0.0015732429251498203,-0.004062628699650128
2015-02-18,-0.00099,0.0,0.0,1.0,9.488471419527578e-05,0.0028099930654335026
2015-02-19,0.0,0.0,0.0,1.0,-0.0007137599770754566,-0.0008138538763210468
2015-02-20,-0.0002169244748867094,0.0,0.0,1.0,0.006000743753166615,0.00018112873011988384
2015-02-23,0.00021697201684700796,0.0,0.0,1.0,-0.00014191461746726475,0.0018090845853901971
