Date,ticker,side,weight_before,weight_after,weight_delta,delta_pct
2026-04-10,EDC,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-10,ERX,BUY,0.184,0.2173,0.0333,3.33
2026-04-10,TECL,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-10,UCO,BUY,0.184,0.2173,0.0333,3.33
2026-04-13,EDC,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-13,ERX,BUY,0.184,0.2173,0.0333,3.33
2026-04-13,TECL,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-13,UCO,BUY,0.184,0.2173,0.0333,3.33
2026-04-14,TECL,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-14,UCO,BUY,0.184,0.2173,0.0333,3.33
2026-04-15,TECL,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-15,UCO,BUY,0.184,0.2173,0.0333,3.33
2026-04-16,TECL,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-16,UCO,BUY,0.184,0.2173,0.0333,3.33
2026-04-17,EDC,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-17,UCO,BUY,0.184,0.2173,0.0333,3.33
2026-04-20,ERX,SELL,0.184,0.1233,-0.0608,-6.08
2026-04-20,SOXL,BUY,0.1566,0.2173,0.0608,6.08
2026-04-21,BIL,SELL,0.4072,0.3815,-0.0257,-2.57
2026-04-21,ERX,BUY,0.1845,0.1925,0.008,0.8
2026-04-21,UCO,BUY,0.1845,0.1925,0.008,0.8
2026-04-21,SOXL,BUY,0.157,0.1638,0.0068,0.68
