Date,ticker,side,weight_before,weight_after,weight_delta,delta_pct
2026-04-10,EDC,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-10,ERX,BUY,0.184,0.2173,0.0333,3.33
2026-04-10,TECL,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-10,UCO,BUY,0.184,0.2173,0.0333,3.33
2026-04-13,EDC,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-13,ERX,BUY,0.184,0.2173,0.0333,3.33
2026-04-13,TECL,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-13,UCO,BUY,0.184,0.2173,0.0333,3.33
2026-04-14,TECL,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-14,UCO,BUY,0.184,0.2173,0.0333,3.33
2026-04-15,TECL,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-15,UCO,BUY,0.184,0.2173,0.0333,3.33
2026-04-16,TECL,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-16,UCO,BUY,0.184,0.2173,0.0333,3.33
2026-04-17,EDC,SELL,0.0333,0.0,-0.0333,-3.33
2026-04-17,UCO,BUY,0.184,0.2173,0.0333,3.33
2026-04-20,ERX,SELL,0.184,0.1233,-0.0608,-6.08
2026-04-20,SOXL,BUY,0.1566,0.2173,0.0608,6.08
2026-04-21,BIL,SELL,0.442,0.4023,-0.0397,-3.97
2026-04-21,ERX,BUY,0.1737,0.1861,0.0124,1.24
2026-04-21,SOXL,BUY,0.1478,0.1583,0.0105,1.05
2026-04-21,UCO,BUY,0.1737,0.1861,0.0124,1.24
2026-04-22,ERX,SELL,0.1861,0.1247,-0.0614,-6.14
2026-04-22,SOXL,BUY,0.1583,0.2198,0.0615,6.15
2026-04-23,BIL,SELL,0.402,0.3747,-0.0273,-2.73
2026-04-23,EDC,SELL,0.0337,0.0,-0.0337,-3.37
2026-04-23,ERX,BUY,0.1247,0.1304,0.0057,0.57
2026-04-23,SOXL,BUY,0.2198,0.2299,0.01,1.0
2026-04-23,UCO,BUY,0.1862,0.2299,0.0437,4.37
2026-04-24,BIL,SELL,0.3747,0.3647,-0.01,-1.0
2026-04-27,BIL,SELL,0.3647,0.3573,-0.0074,-0.74
2026-04-28,BIL,BUY,0.3573,0.3649,0.0077,0.77
